miRNA,SRR1568362,SRR1568363,SRR1568364,SRR1568365,SRR1568366,SRR1568367,SRR1568368,SRR1568369,SRR1568370,SRR1568371,SRR1568372,SRR1568373,SRR1568374,SRR1568375,SRR1568376,SRR1568377,SRR1568378,SRR1568379,SRR1568380,SRR1568381,SRR1568382,SRR1568383,SRR1568384,SRR1568385,SRR1568386,SRR1568387,SRR1568388,SRR1568389,SRR1568390,SRR1568391,SRR1568392,SRR1568393,SRR1568394,SRR1568395,SRR1568396,SRR1568397,SRR1568398,SRR1568399,SRR1568400,SRR1568401,SRR1568402,SRR1568403,SRR1568404,SRR1568405,SRR1568406,SRR1568407,SRR1568408,SRR1568409,SRR1568410,SRR1568411,SRR1568412,SRR1568413,SRR1568414,SRR1568415,SRR1568416,SRR1568417,SRR1568418,SRR1568419,SRR1568420,SRR1568421,SRR1568422,SRR1568423,SRR1568424,SRR1568425,SRR1568426,SRR1568427,SRR1568428,SRR1568429,SRR1568430,SRR1568431,SRR1568432,SRR1568433,SRR1568434,SRR1568435,SRR1568436,SRR1568437,SRR1568438,SRR1568439,SRR1568440,SRR1568441,SRR1568442,SRR1568443,SRR1568444,SRR1568445,SRR1568446,SRR1568447,SRR1568448,SRR1568449,SRR1568450,SRR1568451,SRR1568452,SRR1568453,SRR1568454,SRR1568455,SRR1568456,SRR1568457,SRR1568458,SRR1568459,SRR1568460,SRR1568461,SRR1568462,SRR1568463,SRR1568464,SRR1568465,SRR1568466,SRR1568467,SRR1568468,SRR1568469,SRR1568470,SRR1568471,SRR1568472,SRR1568473,SRR1568474,SRR1568475,SRR1568476,SRR1568477,SRR1568478,SRR1568479,SRR1568480,SRR1568481,SRR1568482,SRR1568483,SRR1568484,SRR1568485,SRR1568486,SRR1568487,SRR1568488,SRR1568489,SRR1568490,SRR1568491,SRR1568492,SRR1568493,SRR1568494,SRR1568495,SRR1568496,SRR1568497,SRR1568498,SRR1568499,SRR1568500,SRR1568501,SRR1568502,SRR1568503,SRR1568504,SRR1568505,SRR1568506,SRR1568507,SRR1568508,SRR1568509,SRR1568510,SRR1568511,SRR1568512,SRR1568513,SRR1568514,SRR1568515,SRR1568516,SRR1568517,SRR1568518,SRR1568519,SRR1568520,SRR1568521,SRR1568522,SRR1568523,SRR1568524,SRR1568525,SRR1568526,SRR1568527,SRR1568528,SRR1568529,SRR1568530,SRR1568531,SRR1568532,SRR1568533,SRR1568534,SRR1568535,SRR1568536,SRR1568537,SRR1568538,SRR1568539,SRR1568540,SRR1568541,SRR1568542,SRR1568543,SRR1568544,SRR1568545,SRR1568546,SRR1568547,SRR1568548,SRR1568549,SRR1568550,SRR1568551,SRR1568552,SRR1568553,SRR1568554,SRR1568555,SRR1568556,SRR1568557,SRR1568558,SRR1568559,SRR1568560,SRR1568561,SRR1568562,SRR1568563,SRR1568564,SRR1568565,SRR1568566,SRR1568567,SRR1568568,SRR1568569,SRR1568570,SRR1568571,SRR1568572,SRR1568573,SRR1568574,SRR1568575,SRR1568576,SRR1568577,SRR1568578,SRR1568579,SRR1568580,SRR1568581,SRR1568582,SRR1568583,SRR1568584,SRR1568585,SRR1568586,SRR1568587,SRR1568588,SRR1568589,SRR1568590,SRR1568591,SRR1568592,SRR1568593,SRR1568594,SRR1568595,SRR1568596,SRR1568597,SRR1568598,SRR1568599,SRR1568600,SRR1568601,SRR1568602,SRR1568603,SRR1568604,SRR1568605,SRR1568606,SRR1568607,SRR1568608,SRR1568609,SRR1568610,SRR1568611,SRR1568612,SRR1568613,SRR1568614,SRR1568615,SRR1568616,SRR1568617,SRR1568618,SRR1568619,SRR1568620,SRR1568621,SRR1568622,SRR1568623,SRR1568624,SRR1568625,SRR1568626,SRR1568627,SRR1568628,SRR1568629,SRR1568630,SRR1568631,SRR1568632,SRR1568633,SRR1568634,SRR1568635,SRR1568636,SRR1568637,SRR1568638,SRR1568639,SRR1568640,SRR1568641,SRR1568642,SRR1568643,SRR1568644,SRR1568645,SRR1568646,SRR1568647,SRR1568648,SRR1568649,SRR1568650,SRR1568651,SRR1568652,SRR1568653,SRR1568654,SRR1568655,SRR1568656,SRR1568657,SRR1568658,SRR1568659,SRR1568660,SRR1568661,SRR1568662,SRR1568663,SRR1568664,SRR1568665,SRR1568666,SRR1568667,SRR1568668,SRR1568669,SRR1568670,SRR1568671,SRR1568672,SRR1568673,SRR1568674,SRR1568675,SRR1568676,SRR1568677,SRR1568678,SRR1568679,SRR1568680,SRR1568681,SRR1568682,SRR1568683,SRR1568684,SRR1568685,SRR1568686,SRR1568687,SRR1568688,SRR1568689,SRR1568690,SRR1568691,SRR1568692,SRR1568693,SRR1568694,SRR1568695,SRR1568696,SRR1568697,SRR1568698,SRR1568699,SRR1568700,SRR1568701,SRR1568702,SRR1568703,SRR1568704,SRR1568705,SRR1568706,SRR1568707,SRR1568708,SRR1568709,SRR1568710,SRR1568711,SRR1568712,SRR1568713,SRR1568714,SRR1568715,SRR1568716,SRR1568717,SRR1568718,SRR1568719,SRR1568720,SRR1568721,SRR1568722,SRR1568723,SRR1568724,SRR1568725,SRR1568726,SRR1568727,SRR1568728,SRR1568729,SRR1568730,SRR1568731,SRR1568732,SRR1568733,SRR1568734,SRR1568735,SRR1568736,SRR1568737,SRR1568738,SRR1568739,SRR1568740,SRR1568741,SRR1568742,SRR1568743,SRR1568744,SRR1568745,SRR1568746,SRR1568747,SRR1568748,SRR1568749,SRR1568750,SRR1568751,SRR1568752,SRR1568753,SRR1568754,SRR1568755,SRR1568756
hsa-let-7e-5p,531,30,139,6,352,0,342,21,110,285,1251,1,28,65,69,6,0,152,94,210,12,32,275,38,420,25,232,266,52,95,1,491,13,673,45,129,241,161,643,1,149,5,121,0,647,141,264,3,3,2,120,0,55,714,1150,51,143,13,16,0,157,0,755,21,376,5,112,0,172,1,836,32,688,0,254,33,90,3,521,621,1,575,51,4755,6,192,17,0,573,183,500,3580,74,1,600,1724,41,615,19,921,2,357,6,296,3,71,9,186,12,373,0,30,986,51,71,0,373,22,973,163,622,366,257,15,178,120,516,49,1,0,110,1491,15,1285,4,73,16,287,122,211,0,1074,5,261,44,48,287,22,996,26,386,6,2491,0,6716,26,1177,94,2258,1,1849,0,2080,3,229,168,67,239,4,107,0,144,39,171,49,1317,30,3109,616,12,195,41,603,36,191,0,202,1,1377,35,2275,1289,1736,20,375,53,1316,419,282,2477,71,338,0,668,2,1730,0,307,34,1227,167,619,0,1529,366,22,98,39,65,1083,0,39,45,25,3,481,11,544,12,496,29,4703,70,0,11,0,207,1439,1,1140,134,25,1843,639,4,617,27,1,890,51,418,273,130,20,1312,0,11,19,127,4,146,38,2140,1,2856,646,6,9,0,0,1082,54,45,422,9,25,5,248,278,6,431,1404,1018,0,11,20,4,123,3,270,12,411,48,111,26,11,161,13,2,35,0,287,0,166,6,280,0,153,504,40,259,176,94,62,36,249,283,34,56,204,94,241,122,95,130,98,17,66,239,589,1,54,2,64,6,225,21,16,175,54,68,246,362,1,320,2,32,40,299,7,425,1,800,25,248,8,12,8,102,27,145,34,2413,77,114,280,53,720,62,167,6,382,9,102,177,12,275,1,213,188,66,795,1,346,38,143,20,30,3,537,0,792,457,1122,1381
hsa-let-7f-1-3p,0,0,0,0,4,0,2,0,2,0,0,0,0,1,0,0,0,0,0,3,0,1,2,2,0,1,0,3,0,0,0,5,0,0,0,0,0,18,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,1,12,0,0,0,0,6,0,0,3,0,2,6,11,0,1,0,5,0,3,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,2,1,2,3,3,0,0,0,0,2,0,0,0,0,5,0,2,0,3,3,1,0,0,0,6,0,0,8,0,1,0,1,0,1,0,3,0,8,0,2,0,9,0,0,1,6,0,1,0,0,0,0,0,0,2,0,0,2,2,0,10,0,3,6,0,1,0,1,0,2,0,1,5,4,28,25,1,3,1,0,0,0,9,0,0,0,3,0,2,0,1,4,13,75,1,0,12,2,0,3,0,4,8,0,0,4,0,0,1,0,0,0,0,1,20,0,0,0,0,2,3,0,0,0,0,13,8,0,0,0,0,2,2,16,13,0,0,5,0,0,0,0,0,0,3,2,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,10,0,0,0,0,4,8,0,0,3,0,1,2,0,0,0,2,0,3,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,2,4,0,5,0,0,0,1,0,1,0,2,1,1,2,0,3,6,0,0,0,0,0,1,1,1,0,1,2,0,6,0,2,0,0,0,0,0,2,0,26,5,6,1
hsa-let-7f-2-3p,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14,0,0,0,0,1,0,0,12,0,0,1,10,5,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,5,2,0,1,0,1,3,2,0,0,0,3,0,2,11,0,1,0,2,0,2,0,8,0,9,0,1,2,6,0,0,0,6,3,0,0,0,1,0,0,0,0,1,0,2,1,4,11,0,4,0,0,6,0,0,0,4,0,3,4,2,16,8,0,1,0,3,1,0,0,2,1,0,0,0,7,0,0,7,15,51,3,1,8,1,0,1,4,4,6,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,4,5,0,5,0,0,10,4,0,2,0,0,2,1,12,26,0,0,27,0,0,2,0,0,1,1,2,0,10,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13,0,0,0,0,1,11,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,0,0,0,6,0,1,0,0,1,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,4,6,3,1
hsa-let-7f-5p,4805,1602,1670,44,5846,3,3451,413,1525,9601,6867,4,348,3734,1297,103,61,719,1270,4039,37,200,5568,2970,7336,1413,4736,4486,1055,2019,9,9008,90,12324,2529,3438,3204,11144,12807,29,2581,64,638,19,9799,505,7970,54,21,42,959,2,4909,11372,15200,1439,1534,263,234,2,3358,0,15007,1089,8452,75,1510,0,2085,52,11395,656,10148,35,6683,667,895,44,6478,15772,7,8678,2714,69226,22,2346,379,15,4911,2201,8008,24592,1016,22,8717,27269,3380,8343,2410,18520,131,5188,113,4397,225,281,120,3006,810,4562,3,800,16265,367,476,7,9935,371,18330,12904,15089,3266,4302,631,2484,1475,9255,2957,47,2,1168,25212,1007,20051,13,311,3543,2632,8764,3462,6,17352,179,6183,4269,6204,4567,55,24029,794,11535,1675,27889,22,97314,146,13715,797,38634,90,26693,58,41971,126,3392,789,5136,3447,57,1328,11,2447,593,4952,3156,15025,639,41726,10829,1178,4316,1330,5341,7305,6647,128,7405,250,23857,2335,30283,14814,29747,1358,9490,4091,16600,5297,13536,45362,116,7727,5,9630,109,24101,8,4063,863,30712,13437,15477,44,25223,11427,2453,1545,1933,1680,21000,2,405,6497,664,461,19325,271,4495,875,7745,2251,57452,1943,11,1325,25,16616,37545,84,8454,1137,689,30684,6314,64,7043,326,17,14013,2280,3779,3293,586,991,12140,0,133,212,2064,151,2141,4310,43704,28,31966,7544,17,96,0,3,14356,1513,2240,7322,601,1490,227,3672,4764,236,7834,34191,15515,2,1608,685,79,3043,232,2303,88,9909,522,2966,943,61,6211,96,1747,1380,8,3091,11,3166,1260,2143,25,3830,8408,3407,7322,1308,4193,910,1090,3543,5757,201,2030,1782,2361,4066,5254,1026,1563,1828,1129,1333,12911,7078,269,1167,184,1599,178,5222,2122,851,4102,4415,1076,12570,11829,22,8146,106,338,3098,3734,349,6915,125,14007,213,5492,172,1782,93,1667,1066,1338,1628,36689,849,1002,6741,937,10386,2277,1929,61,6066,847,2201,3032,630,7757,32,4334,5648,3796,20116,43,5565,2211,2812,471,538,138,5677,8,27240,9305,21262,25241
hsa-let-7g-3p,2,0,0,0,4,0,0,2,0,2,3,0,0,0,0,1,1,0,2,6,0,6,1,0,0,33,0,3,0,0,0,15,4,0,1,0,1,76,3,0,12,0,0,0,19,0,1,7,0,0,0,0,0,26,11,0,1,0,0,0,0,0,49,300,1,0,0,0,0,0,0,1,10,0,0,0,2,1,2,1,0,3,1,11,0,2,3,0,6,0,0,30,0,2,3,16,8,2,2,3,0,5,21,0,0,5,0,1,4,2,0,0,2,4,2,0,1,22,1,0,6,1,0,0,3,0,5,188,0,0,6,4,0,2,0,8,22,2,0,0,0,44,0,9,53,9,0,4,1,0,45,0,20,0,38,1,12,1,32,0,0,0,10,10,0,1,2,4,13,1,0,8,0,0,2,5,20,13,2,24,13,0,19,0,0,0,103,0,17,23,1,90,148,6,1,4,19,7,6,2,21,3,0,2,0,2,0,3,59,133,1628,5,0,27,3,0,4,18,35,4,0,1,94,0,0,1,0,0,1,0,0,29,3,0,0,1,21,7,0,21,0,0,139,17,0,1,0,0,2,15,79,92,2,1,142,0,0,9,3,0,0,0,8,0,75,1,0,0,0,0,0,3,0,4,1,0,0,12,0,0,2,7,3,0,0,0,0,0,2,0,0,5,2,1,0,0,24,0,64,0,0,1,0,17,13,0,0,14,0,8,4,0,0,1,8,1,22,0,0,1,14,0,30,2,1,0,0,0,1,0,1,0,0,0,0,1,9,0,1,0,0,0,30,4,4,7,0,0,2,40,9,9,4,0,2,0,0,0,0,0,0,0,9,3,12,1,2,5,10,2,0,0,0,0,0,3,7,0,9,0,0,4,3,0,11,0,44,0,0,11,0,72,10,0,0
hsa-let-7g-5p,583,469,398,29,807,4,578,253,300,2380,1901,0,22,728,640,62,5,132,116,543,10,63,1390,821,1873,645,239,835,95,191,7,1854,16,1020,620,514,800,2470,1170,1,866,17,82,1,2550,226,1886,102,4,8,126,0,548,2569,1227,354,216,76,26,0,236,0,1866,845,643,61,142,1,406,12,765,256,2465,1,1053,426,266,21,1578,1507,1,943,316,5564,9,554,64,1,1490,54,338,5344,231,84,1093,3147,738,716,1105,2446,25,820,117,182,60,185,8,839,232,660,0,128,2183,139,263,3,694,185,1554,1337,3758,826,1047,116,264,116,1206,352,4,0,260,2142,510,2392,1,172,2342,378,625,299,1,1190,40,1185,1068,731,711,18,1686,94,802,177,5329,2,4289,21,1592,318,10524,1,1401,24,1618,45,709,1250,2763,450,238,301,3,645,129,473,1368,1698,445,1871,588,839,1151,40,656,554,176,16,1974,26,1693,2632,2936,5004,6305,448,1610,577,1284,1129,1212,3421,101,496,1,1020,24,1385,2,294,1332,3136,3384,2281,10,4007,505,312,202,1454,1205,1901,1,94,4667,121,54,580,83,381,230,399,417,7848,438,2,119,5,1749,1881,0,1650,341,165,7711,3003,19,437,69,1,1965,501,3987,2737,177,575,3544,0,29,280,461,88,141,418,3504,76,9650,961,2,17,0,0,3840,605,494,1151,126,336,40,1226,326,4,933,2794,748,2,278,58,42,343,111,243,11,869,159,330,235,9,2223,11,1532,196,7,214,0,1971,1053,373,7,1751,2600,1390,1106,317,345,63,95,246,2628,102,171,293,1213,939,1361,159,100,377,191,235,877,870,108,71,29,257,12,431,378,560,353,1477,264,1819,1749,47,224,58,92,671,277,179,1202,92,1218,32,1034,16,354,15,213,70,264,346,4007,418,502,918,336,965,520,801,43,1292,211,225,282,149,650,11,1237,397,447,1681,2,1154,969,543,386,101,66,1292,1,3855,2271,1089,1344
hsa-let-7i-3p,22,7,3,1,13,0,3,49,1,41,14,0,0,28,5,51,0,27,1,53,0,52,13,30,3,18,1,20,0,3,2,22,20,1,4,0,1,110,26,0,108,0,1,0,34,17,0,103,0,1,0,0,20,29,82,0,6,13,0,0,3,0,59,145,0,12,0,0,4,0,1,151,25,1,3,24,15,34,13,18,0,13,36,45,2,13,4,0,17,0,2,221,7,46,19,75,40,2,37,21,4,13,11,0,0,23,0,4,44,6,0,0,6,48,5,5,5,76,13,14,16,21,3,0,4,19,11,7,13,0,30,31,6,26,21,14,58,3,20,5,3,72,27,12,217,79,3,8,12,6,52,13,144,0,116,0,30,23,51,0,12,36,56,73,2,23,206,18,77,3,0,14,41,0,56,26,41,56,8,82,53,4,16,2,0,6,130,0,55,122,15,281,222,48,40,18,56,12,56,9,123,2,0,12,1,12,0,9,195,156,561,11,0,66,6,2,3,26,51,5,0,2,82,3,0,8,20,2,14,1,12,134,14,0,6,0,20,17,12,28,4,0,62,28,0,2,6,0,13,27,287,349,2,14,103,0,1,40,2,14,1,3,12,47,86,7,0,0,0,0,2,38,0,6,4,0,3,180,2,1,18,20,8,0,3,0,6,0,0,2,2,7,21,0,0,2,35,0,26,0,0,2,0,179,467,11,0,110,2,28,15,3,15,0,10,0,60,3,8,1,19,5,91,5,7,0,0,1,17,7,69,0,0,0,0,3,8,3,3,0,0,30,43,25,2,39,0,16,8,59,19,47,19,9,9,4,2,4,0,0,1,0,25,28,24,1,224,19,32,4,31,4,15,3,1,3,16,0,32,0,4,7,2,2,13,0,137,0,1,33,0,209,34,8,10
hsa-let-7i-5p,1954,1129,1612,87,1984,4,1045,2624,626,12371,2847,2,85,2627,1436,6196,98,1378,198,3505,14,1403,4078,3697,1900,1793,614,1781,329,462,15,5066,294,1353,1136,971,743,9593,1915,165,21728,22,228,10,7235,1755,4011,2184,37,80,213,10,3449,8717,7801,233,2233,791,110,4,416,0,16901,6157,1412,860,899,2,1772,79,1858,4883,8676,27,3915,4447,1085,451,5171,6492,4,2754,2721,16890,14,1498,742,62,5865,154,605,34312,1212,763,1616,11259,3326,4886,5970,5414,140,4581,1250,672,104,1801,83,758,2420,2461,0,219,2200,766,1404,11,1579,2554,3947,2685,7945,3696,985,243,938,2265,3700,3909,70,3,1536,5561,958,5420,87,2120,19595,4692,8766,4629,12,18630,852,3419,20346,11702,2453,183,3518,482,8202,2814,10330,39,57750,210,5068,6391,13341,67,6368,1471,10360,1908,1073,7871,15088,3963,2458,945,4,1905,4979,1503,4275,6091,4624,28331,2081,7748,2522,661,11145,5559,332,158,24367,161,12451,8531,7224,22165,10620,6685,8312,5137,9494,3784,14394,11574,1879,5841,5,2878,66,6113,14,2434,11225,43776,44256,4662,77,6885,3074,7396,621,6050,4690,4317,17,566,18330,205,154,4740,867,1863,1920,1038,1193,16740,1332,5,2326,29,16159,13611,91,7720,3502,1209,23612,12446,85,1316,428,23,4915,2282,11603,22816,652,1960,35119,1,99,2389,1582,590,485,1288,9362,1055,36232,2670,13,208,0,2,3450,4154,479,3382,302,328,51,32077,5101,108,2042,5099,6324,12,529,187,252,645,106,1005,184,1445,1123,389,260,43,7371,47,2956,289,17,2501,3,9190,21994,1011,6,7363,1608,2650,2012,1763,2069,184,642,686,8080,638,1085,529,4524,901,7930,1907,923,892,249,653,2652,3450,1005,201,70,970,53,1002,1328,1251,950,2395,542,5036,4142,228,640,962,507,3459,2209,4047,4649,1588,4354,221,2432,305,1052,34,802,281,979,349,24734,2812,3657,3709,6200,3624,1841,2973,380,1355,978,595,1048,571,2506,19,3720,895,1532,4711,23,1102,1501,1866,3148,264,164,6011,0,8422,4842,3317,4073
hsa-miR-1-3p,0,2,3,0,0,0,0,0,0,85,0,0,0,1,0,1,0,0,0,3,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,2,8,0,0,3,0,0,0,0,0,0,0,5,0,0,0,5,1,0,1,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,29,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,5,1,0,0,0,14,6,0,0,0,0,0,6,0,0,3,0,0,1,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,2,12,2,0,0,0,0,1,3,0,0,0,3,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0,4,4,38,0,3,0,0,0,0,0,0,1,0,0,5,0,0,4,4,167,13,3,0,0,0,0,4,1,0,0,1,1,3,0,0,0,0,1,2645,0,0,0,0,0,0,4,0,0,0,0,56,4,0,0,0,0,4,0,0,5,0,0,1,0,4,0,0,0,3,3,1,0,0,0,0,3,5,1,0,29,2,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19,0,3,0,8,1,6,1,0,1,1,8,0,0,7,6,0,1,0,6,4,4,0,1,2,0,0,0,18,1,0,8,0,0,0,0,0,0,12,640,0,0,7,0,19,0,78,2,0,0,13,6,3,0,1,0,4,0,0,0,0,3,14,0,0,0,0,2,0,70,0,6,0,1,8,10,3,2,0,4,12,2,0,0,0,0,7,0,3,8,0,0,3,8,0,6,1,6,13,0,3,2,3,0,2,0,11,21,5,0,1,4,0,1,1,4,0,0,0,0,3,1,0,0,5
hsa-miR-1-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-100-3p,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,2,8,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,8,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,6,0,1,0,0,1,0,6,0,10,0,3,0,24,0,2,0,13,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,4,0,10,1,0,2,0,0,0,0,0,3,0,42,0,3,22,32,0,0,1,2,1,0,0,0,2,0,3,0,4,0,0,0,33,4,6,0,6,2,0,0,0,0,3,0,0,0,0,0,5,0,0,0,1,0,35,0,0,0,0,0,6,0,3,3,0,6,3,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,1,0,13,0,2,0,0,0,1,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,3,3,3
hsa-miR-100-5p,725,320,739,13,2077,1,1909,752,769,996,19086,0,37,4476,956,228,1040,449,335,1569,110,1260,5903,784,11116,7568,235,573,42,1107,70,2045,120,737,98,598,1559,125235,902,27,462,41,303,2,5612,18213,2213,165,30,9,872,1,69,3208,2402,2086,805,1378,72,4,100,1,4403,2249,505,737,1336,1,1042,16,528,1116,1739,1,1401,559,2832,97,1588,1134,2,13550,783,8912,41,1631,106,47,6212,8,629,68430,726,2176,1319,11000,5678,1121,679,1937,1,2944,3807,125,13,4437,21,5897,643,472,0,33,4085,21241,2421,1,1344,5591,12443,1425,8276,3199,22044,47,2872,203,1787,301,324,3,94,11743,119,479,231,8005,151,502,72,709,2,2658,134,1948,360,236,1066,18,2381,919,2258,228,2852,40,12026,70,4044,295,6831,9,6052,243,2110,328,7132,34708,3339,746,2851,459,1,2721,229,2475,7803,21131,608,5500,1315,512,5871,41,6332,31,737,20,5031,0,3947,3005,19668,76323,13806,147,10789,748,3914,10615,566,2646,6741,706,3,11118,706,2903,7,2215,3142,2540,1682,5658,55,16038,983,34,1165,777,2109,4644,17,3082,1365,750,12,402,951,6544,156,757,100,59097,798,5,18,25,1967,2926,5,15761,13648,34,38968,8330,161,1041,1144,2,4516,9927,23487,2904,5181,452,39219,0,194,188,11227,182,1650,1546,4269,147,8289,9886,238,5,1,4,6546,385,21,10301,1587,17,51,840,1648,24,1093,4299,961,2,51,1099,77,851,701,9257,39,2187,3031,954,72,1119,11427,292,19965,250,1,237,28,3640,37,2117,0,2971,933,4829,1352,10762,952,524,134,760,6983,3471,103,1470,2094,5431,34982,613,234,2428,34,1239,12372,13511,1018,680,18,1218,3,379,4077,203,1147,1426,501,1005,3833,2023,944,299,1825,349,751,743,16018,1424,1827,1267,2092,127,3578,20,1507,37,20314,53,12111,28271,12261,5389,424,3809,3974,4392,100,6954,5002,390,1049,333,2445,219,2392,994,73,803,1767,5837,1710,1567,417,3363,556,11552,6,3057,8574,3427,2973
